音色ID,音色名称,推荐场景,音色类型,支持语言,音色采样率,音色情感
502001,智小柔,对话女声,超自然大模型音色,中文,8k/16k/24k,中性
501000,智斌,阅读男声,大模型音色,中文,8k/16k/24k,中性
501001,智兰,资讯女声,大模型音色,中文,8k/16k/24k,中性
501002,智菊,阅读女声,大模型音色,中文,8k/16k/24k,中性
501003,智宇,阅读男声,大模型音色,中文,8k/16k/24k,中性
501004,月华,对话女声,大模型音色,中文,8k/16k/24k,中性
501005,飞镜,对话男声,大模型音色,中文,8k/16k/24k,中性
501006,千嶂,对话男声,大模型音色,中文,8k/16k/24k,中性
501007,浅草,对话男声,大模型音色,中文,8k/16k/24k,中性
501008,WeJames,外语男声,大模型音色,英文,8k/16k/24k,中性
501009,WeWinny,外语女声,大模型音色,英文,8k/16k/24k,中性
601000,爱小溪,对话女声,大模型音色,中文,8k/16k/24k,中性、悲伤、高兴、生气、恐惧、撒娇、震惊、厌恶、平静
601001,爱小洛,阅读女声,大模型音色,中文,8k/16k/24k,中性、悲伤、高兴、生气、恐惧、撒娇、震惊、厌恶、平静
601002,爱小辰,对话男声,大模型音色,中文,8k/16k/24k,中性、悲伤、高兴、生气、恐惧、撒娇、震惊、厌恶、平静
601003,爱小荷,阅读女声,大模型音色,中文,8k/16k/24k,中性、悲伤、高兴、生气、恐惧、新闻、故事、广播、诗歌、客服
601004,爱小树,资讯男声,大模型音色,中文,8k/16k/24k,中性、悲伤、高兴、生气、恐惧、撒娇、震惊、厌恶、平静
601005,爱小静,对话女声,大模型音色,中文,8k/16k/24k,中性、悲伤、高兴、生气、恐惧、撒娇、震惊、厌恶、平静
601006,爱小耀,阅读男声,大模型音色,中文,8k/16k/24k,中性、悲伤、高兴、生气、恐惧、撒娇、震惊、厌恶、平静
601007,爱小叶,对话女声,大模型音色,中文,8k/16k/24k,中性、悲伤、高兴、生气、恐惧、撒娇、震惊、厌恶、平静
601008,爱小豪,对话男声,大模型音色,中文,8k/16k/24k,中性、悲伤、高兴、生气、恐惧、撒娇、震惊、厌恶、平静
601009,爱小芊,对话女声,大模型音色,中文,8k/16k/24k,中性、悲伤、高兴、生气、恐惧、撒娇、震惊、厌恶、平静
601010,爱小娇,对话女声,大模型音色,中文,8k/16k/24k,中性、悲伤、高兴、生气、恐惧、撒娇、震惊、厌恶、平静
101011,智燕,精品女声,精品音色,中文,8k/16k/24k,中性
101012,智聆,通用女声,精品音色,中文,8k/16k/24k,中性
101004,智瑜,情感女声,精品音色,中文,8k/16k/24k,中性
101005,智谣,客服女声,精品音色,中文,8k/16k/24k,中性
101001,智妍,客服女声,精品音色,中文,8k/16k/24k,中性
101003,智美,客服女声,精品音色,中文,8k/16k/24k,中性
101002,智云,通用男声,精品音色,中文,8k/16k/24k,中性
101006,智博,通用男声,精品音色,中文,8k/16k/24k,中性
101008,智达,通用男声,精品音色,中文,8k/16k/24k,中性
101009,智全,通用男声,精品音色,中文,8k/16k/24k,中性
101010,智怡,客服女声,精品音色,中文,8k/16k/24k,中性
1001,智瑜,情感女声,标准音色,中文,8k/16k,中性
1002,智聆,通用女声,标准音色,中文,8k/16k,中性
1003,智美,客服女声,标准音色,中文,8k/16k,中性
1004,智云,通用男声,标准音色,中文,8k/16k,中性
1005,智莉,通用女声,标准音色,中文,8k/16k,中性
1008,智琪,客服女声,标准音色,中文,8k/16k,中性
1009,智芸,知性女声,标准音色,中文,8k/16k,中性
1010,智华,通用男声,标准音色,中文,8k/16k,中性
1017,智蓉,情感女声,标准音色,中文,8k/16k,中性
1018,智靖,情感男声,标准音色,中文,8k/16k,中性
1050,WeJack,英文男声,标准音色,英文,8k/16k,中性
1051,WeRose,英文女声,标准音色,英文,8k/16k,中性
